"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","LACKAWANNA","State Treasurer","StateWide","Libertarian","","4,298","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","Auditor General","StateWide","Republican","","129,749","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","Auditor General","StateWide","Democratic","","75,857","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","Auditor General","StateWide","Libertarian","","10,220","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","State Treasurer","StateWide","Republican","","125,440","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","State Treasurer","StateWide","Democratic","","81,364","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","State Treasurer","StateWide","Libertarian","","8,588","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","Auditor General","StateWide","Republican","","18,838","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","Auditor General","StateWide","Democratic","","17,387","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","Auditor General","StateWide","Libertarian","","1,679","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","State Treasurer","StateWide","Republican","","17,902","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","State Treasurer","StateWide","Democratic","","18,379","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","State Treasurer","StateWide","Libertarian","","1,421","0","0","","","","","","","","",""
"2012 General Election","LEBANON","Auditor General","StateWide","Republican","","34,547","0","0","","","","","","","","",""
"2012 General Election","LEBANON","Auditor General","StateWide","Democratic","","17,464","0","0","","","","","","","","",""
"2012 General Election","LEBANON","Auditor General","StateWide","Libertarian","","2,572","0","0","","","","","","","","",""
"2012 General Election","LEBANON","State Treasurer","StateWide","Republican","","32,490","0","0","","","","","","","","",""
"2012 General Election","LEBANON","State Treasurer","StateWide","Democratic","","19,481","0","0","","","","","","","","",""
"2012 General Election","LEBANON","State Treasurer","StateWide","Libertarian","","2,449","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","Auditor General","StateWide","Republican","","63,991","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","Auditor General","StateWide","Democratic","","69,838","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","Auditor General","StateWide","Libertarian","","6,256","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","State Treasurer","StateWide","Republican","","60,125","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","State Treasurer","StateWide","Democratic","","74,063","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","State Treasurer","StateWide","Libertarian","","5,516","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","Auditor General","StateWide","Republican","","49,693","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","Auditor General","StateWide","Democratic","","58,874","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","Auditor General","StateWide","Libertarian","","8,104","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","State Treasurer","StateWide","Republican","","46,056","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","State Treasurer","StateWide","Democratic","","63,202","0","0","","","","","","","","",""
"2012 General Election","LUZERNE","State Treasurer","StateWide","Libertarian","","5,990","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","Auditor General","StateWide","Republican","","27,562","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","Auditor General","StateWide","Democratic","","15,025","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","Auditor General","StateWide","Libertarian","","2,464","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","State Treasurer","StateWide","Republican","","27,639","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","State Treasurer","StateWide","Democratic","","15,386","0","0","","","","","","","","",""
"2012 General Election","LYCOMING","State Treasurer","StateWide","Libertarian","","1,992","0","0","","","","","","","","",""
"2012 General Election","McKEAN","Auditor General","StateWide","Republican","","9,328","0","0","","","","","","","","",""
"2012 General Election","McKEAN","Auditor General","StateWide","Democratic","","4,379","0","0","","","","","","","","",""
"2012 General Election","McKEAN","Auditor General","StateWide","Libertarian","","749","0","0","","","","","","","","",""
"2012 General Election","McKEAN","State Treasurer","StateWide","Republican","","8,868","0","0","","","","","","","","",""
"2012 General Election","McKEAN","State Treasurer","StateWide","Democratic","","5,022","0","0","","","","","","","","",""
"2012 General Election","McKEAN","State Treasurer","StateWide","Libertarian","","590","0","0","","","","","","","","",""
"2012 General Election","MERCER","Auditor General","StateWide","Republican","","24,609","0","0","","","","","","","","",""
"2012 General Election","MERCER","Auditor General","StateWide","Democratic","","22,231","0","0","","","","","","","","",""
"2012 General Election","MERCER","Auditor General","StateWide","Libertarian","","2,373","0","0","","","","","","","","",""
"2012 General Election","MERCER","State Treasurer","StateWide","Republican","","23,598","0","0","","","","","","","","",""
"2012 General Election","MERCER","State Treasurer","StateWide","Democratic","","23,494","0","0","","","","","","","","",""
"2012 General Election","MERCER","State Treasurer","StateWide","Libertarian","","2,068","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","Auditor General","StateWide","Republican","","11,094","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","Auditor General","StateWide","Democratic","","4,038","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","Auditor General","StateWide","Libertarian","","743","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","State Treasurer","StateWide","Republican","","10,294","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","State Treasurer","StateWide","Democratic","","4,883","0","0","","","","","","","","",""
"2012 General Election","MIFFLIN","State Treasurer","StateWide","Libertarian","","631","0","0","","","","","","","","",""
"2012 General Election","MONROE","Auditor General","StateWide","Republican","","25,381","0","0","","","","","","","","",""
"2012 General Election","MONROE","Auditor General","StateWide","Democratic","","30,641","0","0","","","","","","","","",""
